2026-03-24 08:35:43 | INFO     | s_main | Upload folder ready: /home/ubuntu/pdf_ai_review/temp
2026-03-24 08:35:43 | DEBUG    | asyncio | Using selector: EpollSelector
2026-03-24 08:35:43 | INFO     | s_main | Starting up and loading AI model...
2026-03-24 08:35:43 | INFO     | s_ai_model | [ai_model] VRAM total=39.5 GB, free=12.5 GB
2026-03-24 08:35:43 | INFO     | s_ai_model | [ai_model] flash-attn not installed — install for 2-4x speedup: pip install flash-attn --no-build-isolation
2026-03-24 08:35:43 | INFO     | s_ai_model | [ai_model] Large GPU (39.5 GB) → float16
2026-03-24 08:35:52 | INFO     | s_ai_model | [ai_model] All parameters on real devices
2026-03-24 08:35:52 | INFO     | s_ai_model | [ai_model] torch.compile enabled (mode=default)
2026-03-24 08:35:54 | DEBUG    | python_multipart.multipart | Calling on_part_begin with no data
2026-03-24 08:35:54 | DEBUG    | python_multipart.multipart | Calling on_header_field with data[36:55]
2026-03-24 08:35:54 | DEBUG    | python_multipart.multipart | Calling on_header_value with data[57:113]
2026-03-24 08:35:54 | DEBUG    | python_multipart.multipart | Calling on_header_end with no data
2026-03-24 08:35:54 | DEBUG    | python_multipart.multipart | Calling on_header_field with data[115:127]
2026-03-24 08:35:54 | DEBUG    | python_multipart.multipart | Calling on_header_value with data[129:144]
2026-03-24 08:35:54 | DEBUG    | python_multipart.multipart | Calling on_header_end with no data
2026-03-24 08:35:54 | DEBUG    | python_multipart.multipart | Calling on_headers_finished with no data
2026-03-24 08:35:54 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[148:13032]
2026-03-24 08:35:54 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[0:8688]
2026-03-24 08:35:54 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[0:20272]
2026-03-24 08:35:55 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[0:14480]
2026-03-24 08:35:55 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[0:30408]
2026-03-24 08:35:55 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[0:13032]
2026-03-24 08:35:55 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[0:18824]
2026-03-24 08:35:55 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[0:14480]
2026-03-24 08:35:55 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[0:20272]
2026-03-24 08:35:55 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[0:11584]
2026-03-24 08:35:55 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[0:8688]
2026-03-24 08:35:55 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[0:5792]
2026-03-24 08:35:55 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[0:21720]
2026-03-24 08:35:55 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[0:14480]
2026-03-24 08:35:55 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[0:5792]
2026-03-24 08:35:55 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[0:24616]
2026-03-24 08:35:55 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[0:23168]
2026-03-24 08:35:55 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[0:18824]
2026-03-24 08:35:55 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[0:21720]
2026-03-24 08:35:55 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[0:17376]
2026-03-24 08:35:55 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[0:20272]
2026-03-24 08:35:55 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[0:17376]
2026-03-24 08:35:55 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[0:10136]
2026-03-24 08:35:55 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[0:8688]
2026-03-24 08:35:55 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[0:20272]
2026-03-24 08:35:55 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[0:24616]
2026-03-24 08:35:55 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[0:17376]
2026-03-24 08:35:55 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[0:1448]
2026-03-24 08:35:55 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[0:5792]
2026-03-24 08:35:55 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[0:20272]
2026-03-24 08:35:55 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[0:17376]
2026-03-24 08:35:55 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[0:20272]
2026-03-24 08:35:55 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[0:11584]
2026-03-24 08:35:55 | DEBUG    | python_multipart.multipart | Calling on_part_data with data[0:17376]
